"PropertyName","PropertyType","AccessModifier","File","RelativePath","Namespace","LineNumber","Project"
"HttpHomePath","string","public","FTPAccount.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Uploaders\FileUploaders\FTPAccount.cs","XerahS.Uploaders.FileUploaders","61","C:"
"HoveredWindow","WindowInfo?","public","SelectionStateMachine.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.RegionCapture\Services\SelectionStateMachine.cs","XerahS.RegionCapture.Services","56","C:"
"HasPreviewFallback","bool","public","AfterUploadViewModel.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.UI\ViewModels\AfterUploadViewModel.cs","XerahS.UI.ViewModels","90","C:"
"AvailableRecordingIntents","List<RecordingIntent>","public","RecordingViewModel.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.UI\ViewModels\RecordingViewModel.cs","XerahS.UI.ViewModels","117","C:"
"SyntaxEscape","char","public virtual","ShareXSyntaxParser.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Uploaders\CustomUploader\ShareXSyntaxParser.cs","XerahS.Uploaders","36","C:"
"AMF_Quality","FFmpegAMFQuality","public","TaskSettingsOptions.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Core\Models\TaskSettingsOptions.cs","XerahS.Core","495","C:"
"KeepCenterLocation","bool","public","TaskSettingsOptions.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Core\Models\TaskSettingsOptions.cs","XerahS.Core","253","C:"
"OpenRouterAPIKey","string","public","TaskSettingsOptions.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Core\Models\TaskSettingsOptions.cs","XerahS.Core","457","C:"
"x264_Bitrate","int","public","TaskSettingsOptions.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Core\Models\TaskSettingsOptions.cs","XerahS.Core","484","C:"
"UserArgs","string","public","TaskSettingsOptions.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Core\Models\TaskSettingsOptions.cs","XerahS.Core","476","C:"
"GoogleCloudStorageDomain","string","public","UploadersConfig.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Uploaders\UploadersConfig.cs","XerahS.Uploaders","393","C:"
"DefaultInstances","Dictionary<UploaderCategory, string>","public","InstanceConfiguration.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Uploaders\PluginSystem\InstanceConfiguration.cs","XerahS.Uploaders.PluginSystem","41","C:"
"x264_Use_Bitrate","bool","public","FFmpegOptions.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.RegionCapture\ScreenRecording\FFmpegOptions.cs","XerahS.RegionCapture","46","C:"
"BalloonTipContentFormat","string","public","TaskSettings.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Core\Models\TaskSettings.cs","XerahS.Core","446","C:"
"EffectiveFFmpegPath","string","public","FFmpegOptionsViewModel.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.UI\ViewModels\FFmpegOptionsViewModel.cs","XerahS.UI.ViewModels","484","C:"
"PluginId","string","public","PluginManifest.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Uploaders\PluginSystem\PluginManifest.cs","XerahS.Uploaders.PluginSystem","37","C:"
"UserToken","string","public","OAuthInfo.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Uploaders\OAuth\OAuthInfo.cs","XerahS.Uploaders","68","C:"
"IsPreviewMode","bool","public","NameParser.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Common\Helpers\NameParser.cs","XerahS.Common","57","C:"
"MinParameterCount","int","public override","CustomUploaderFunctionXml.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Uploaders\CustomUploader\Functions\CustomUploaderFunctionXml.cs","XerahS.Uploaders","35","C:"
"URLFormatString","string","protected override","RedditSharingService.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Uploaders\SharingServices\RedditSharingService.cs","XerahS.Uploaders.SharingServices","31","C:"
"creator_id","string","public","Copy.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Uploaders\FileUploaders\Copy.cs","XerahS.Uploaders.FileUploaders","299","C:"
"HasPendingSelection","bool","public","RegionCaptureControl.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.RegionCapture\UI\RegionCaptureControl.cs","XerahS.RegionCapture.UI","98","C:"
"CheckPreReleaseUpdates","bool","public","GitHubUpdateManager.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Common\UpdateChecker\GitHubUpdateManager.cs","XerahS.Common","36","C:"
"IsPortable","bool","public","GitHubUpdateManager.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.Common\UpdateChecker\GitHubUpdateManager.cs","XerahS.Common","35","C:"
"CanDownloadFFmpeg","bool","public","TaskSettingsViewModel.cs","C:\Users\liveu\source\repos\ShareX Team\XerahS\src\XerahS.UI\ViewModels\TaskSettingsViewModel.cs","XerahS.UI.ViewModels","318","C:"
